iteration	approach	details	rationale
0	skyline bottom-left greedy fill (square bounding box)	Read n from stdin. For each polyomino i, read k_i then k_i (x,y) pairs into a vector of cells. Precompute the 8 orientations of each polyomino (4 rotations x 2 reflections): for reflection F, replace each cell (x,y) with (-x,y); then apply R rotations of 90 degrees clockwise: (x,y)->(y,-x). After transforming, normalize so min x = 0 and min y = 0. Deduplicate orientations that produce identical cell sets. Compute total_area = sum of k_i. Choose initial square side L = max(1, ceil(sqrt(total_area * 1.10))). Maintain int skyline[L] initialized to 0. Sort polyomino indices in descending order of (max over orientations of max(width,height) of that orientation), breaking ties by k_i descending. For each polyomino in this order, iterate over its unique orientations and every X in [0, L - width_of_orientation]; for each, group the orientation's cells by local column dx (dx ranges from 0 to width-1). For each column dx in the orientation, let min_dy(dx) be the smallest dy among cells in that column and max_dy(dx) be the largest. Required Y for this (orient, X) is max over occupied dx of (skyline[X+dx] - min_dy(dx)); reject if Y + max_dy(dx) >= L for any dx (i.e. exceeds the square). Among all (orient, X, Y) options that fit, pick the one with smallest Y, breaking ties by smallest X, then smallest orientation index. Record the chosen (X, Y, R, F) for this polyomino in an array indexed by original input order, and update skyline[X+dx] = Y + max_dy(dx) + 1 for every occupied dx. If no orientation fits for the current polyomino, increment L by 1, reset skyline to zeros, clear placements, and restart from the first polyomino (still using the same sorted order). After all are placed, print L and L on the first line, then for each polyomino i in original input order print X_i Y_i R_i F_i. Use ios::sync_with_stdio(false); and cin.tie(nullptr); for I/O speed.	A simple skyline-based bottom-left fill explores all orientations and rotations and is a sound, fast baseline that produces a valid square packing and a reasonable area; later iterations can refine the ordering and search.
1	skyline BL with support-count tiebreaker	Start from the iteration 0 solution. Keep the exact same orientation precompute, polyomino sort order, square-side L growth, skyline data structure, and per-orientation min_dy/max_dy arrays. Only change the placement-selection criterion inside the inner loop. For each candidate (orient, X), still compute Y = max over occupied dx of (skyline[X+dx] - min_dy[dx]) and still reject if Y + max_dy[dx] >= L for any dx. After computing Y, also compute support_count = number of occupied dx where Y + min_dy[dx] == skyline[X+dx] (these are the columns where the piece's bottom-of-column actually touches the previous skyline). Then choose the (orient, X) tuple by lexicographic key (Y ascending, -support_count ascending i.e. support_count descending, X ascending, orient index ascending) instead of the previous (Y, X, orient) key. Everything else (updating skyline, recording placement as (X - shiftX, Y - shiftY, R, F), output format, restart-on-fail with L++) stays identical. Keep ios::sync_with_stdio(false) and cin.tie(nullptr).	At iteration 0 every placement is the lowest Y but ties are broken by leftmost X, which often parks a piece in a position that introduces a deep gap; preferring placements that touch the existing skyline in more columns reduces trapped empty cells and lowers the final L.
2	skyline BL with 2D grid and contact-perimeter tiebreaker	Start from the iteration 1 solution. Keep the orientation precompute, polyomino sort order (max-dim desc, k_i desc), L growth loop, and skyline. Add a 2D occupancy grid: vector<vector<uint8_t>> grid(L, vector<uint8_t>(L, 0)) (reset together with the skyline when L grows). For each candidate (orient, X), still compute Y from the skyline as max over occupied dx of (skyline[X+dx] - min_dy[dx]) and reject if Y + max_dy[dx] >= L. Replace the support_count tiebreaker with contact_perimeter: iterate the orientation's normalized cells (dx, dy) and add 1 for each of these conditions that holds at world position (X+dx, Y+dy): (a) X+dx == 0; (b) X+dx == L-1; (c) Y+dy == 0; (d) X+dx-1 >= 0 and grid[X+dx-1][Y+dy] != 0; (e) X+dx+1 < L and grid[X+dx+1][Y+dy] != 0; (f) Y+dy-1 >= 0 and grid[X+dx][Y+dy-1] != 0. Pick the placement by lexicographic key (Y asc, contact_perimeter desc, X asc, orient index asc). After placing, mark grid[X+dx][Y+dy] = 1 for every cell of the orientation. The skyline update stays exactly the same. Everything else (output format, placement = (X - shiftX, Y - shiftY, R, F), restart on fail) stays identical. Keep I/O fast.	The iteration 1 support_count tiebreaker only rewards columns whose lowest piece cell exactly touches the skyline; a cell-level contact perimeter that also rewards lateral neighbors and grid walls is a stronger 'best-fit' signal and tends to slot pieces into concave corners that the skyline alone cannot see, lowering the final L.
3	multi-sort-order skyline BL with support-count tiebreaker	Start from the kept iteration 1 solution (skyline BL with Y asc / support_count desc / X asc / orient asc tiebreak). Keep the orientation precompute exactly as is. Define three candidate sort orders for the polyomino indices: (A) maxDim desc, k_i desc; (B) k_i desc, maxDim desc; (C) bbox_area desc (where bbox_area = maxDim[i] * minDim[i] using orientation 0's width and height), k_i desc. Wrap the existing skyline-growth loop inside a for-each-order loop: for each of the three orders, run the existing greedy (skyline init zeros, place every polyomino with Y asc / support desc / X asc / orient asc tiebreak, grow L by 1 and restart whenever a piece does not fit) until success, recording the final L and the per-polyomino placements (X - shiftX, Y - shiftY, R, F). After all three runs, output the placements from the run with the smallest L (break ties by run index). Start each order's L from the same initial value max(1, ceil(sqrt(total_area * 1.10))). Do not re-precompute orientations between runs; reuse the same data. Output W H = L L and the placements in original input order.	Single-ordering greedies get trapped in a local optimum determined by the chosen sort key, so running the same packer with a few qualitatively different orderings and keeping the smallest L is a cheap, strictly-non-worsening way to lower the final area.
4	skyline BL with iterative L shrink after success	Start from the kept iteration 1 solution (skyline BL with support-count tiebreak; sort by maxDim desc then k_i desc; init L = ceil(sqrt(totalArea * 1.10)); grow L by 1 on fail). Keep all of that. After each successful greedy run, compute actualMaxX = max over all stored placed cells of (X + dx) and actualMaxY = max over all stored placed cells of (Y + dy), using the orientation's normalized cells and the stored bestX, bestY (NOT the output Tx Ty). Let Lnew = max(actualMaxX + 1, actualMaxY + 1). If Lnew < L, save the current placements as bestSoFar, set L = Lnew, and re-run the greedy from scratch (reset skyline to zeros, clear placements, place every polyomino in the same sort order). If the re-run succeeds and Lnew2 = max(maxX+1, maxY+1) < L, repeat. If a re-run fails (some piece has no fit), stop shrinking and output bestSoFar with its L. Output uses the smallest successful L. Cap the total number of shrink attempts at 4 to bound runtime. Everything else (orientation precompute, output format = L L then per-polyomino Tx Ty R F in input order) stays identical.	The initial L of 1.10*sqrt is intentionally generous so greedy succeeds quickly, but the resulting packing often fits in a strictly smaller square; re-running greedy at the actually-used bounding-box side gives the algorithm a chance to tighten the square without changing its placement logic.
5	deferred small-piece placement in empty cells	Start from the kept iteration 1 solution (skyline BL with support-count tiebreaker; sort by maxDim desc then k_i desc; init L = ceil(sqrt(totalArea * 1.10)); grow L by 1 on fail). Split pieces by k_i: large = those with k_i >= 3, small = those with k_i in {1, 2}. Phase 1: run the existing skyline BL only over large pieces (in the same sort order, restricted to large indices). While placing each large piece, also write 1 into a 2D vector<vector<uint8_t>> grid[L][L] at every world cell (X+dx, Y+dy) of the chosen orientation. Phase 2: for each small piece in original input order, iterate its unique orientations; for each orientation, scan all (X, Y) in row-major order with Y from 0 to L-1 (outer) and X from 0 to L-1 (inner) and accept the first (orient, X, Y) where (i) X + orient.width <= L and Y + orient.height <= L and (ii) every cell (X+dx, Y+dy) of the orientation has grid value 0. Record placement as (X - shiftX, Y - shiftY, R, F) and set grid[X+dx][Y+dy] = 1. If any small piece fails to fit, set failed = true and grow L by 1, then restart from phase 1 (re-init skyline, grid, placements). Maintain the same maxDim/k_i sort key for the large subset. Output W H = L L and per-polyomino placement in original input order. Keep ios::sync_with_stdio(false), cin.tie(nullptr).	Skyline BL forces every piece to sit on top of the existing skyline, so monominoes and dominoes raise the skyline instead of filling the holes below it that large pieces leave behind; deferring them to a row-major hole-fill pass lets large pieces pack into a tighter L while small pieces consume the unavoidable interior empties for free.
6	skyline BL with min-top-of-piece primary criterion	Start from the kept iteration 1 solution. Keep orientation precompute, sort order (maxDim desc then k_i desc), init L = ceil(sqrt(totalArea * 1.10)), grow loop. Only change the placement-selection key. For each candidate (orient, X), still compute Y = max over occupied dx of (skyline[X+dx] - min_dy[dx]) and reject if Y + max_dy[dx] >= L for any dx. Compute top = Y + (o.height - 1), where o.height is the precomputed orientation height (max y of normalized cells + 1, currently stored as o.height). Compute support_count as in iteration 1. Select the placement by lexicographic key (top ascending, Y ascending, support_count descending, X ascending, orient index ascending). After picking, update skyline and store placement as (X - shiftX, Y - shiftY, R, F) exactly as before. Everything else (output W H = L L then per-polyomino lines in input order, growth on fail) stays identical.	Among all placements with the lowest reachable Y for some orientation, the iteration 1 algorithm picks by support and X but does not consider how tall the chosen orientation is; preferring the placement whose top is lowest favors flat-laying orientations over tall-standing ones and keeps the skyline lower, which lets later pieces find lower Y too and shrinks the overall L.
7	skyline BL min-top with k_i / min-orient-height sort	Start from the kept iteration 6 solution (skyline BL with min-top primary criterion). Keep the placement selection key exactly: (top asc, Y asc, support_count desc, X asc, orient index asc). Keep init L and grow-on-fail loop. Change ONLY the polyomino sort order. Precompute, for each polyomino i, minOrientHeight[i] = min over all unique orientations of orientation.height. Sort the order vector so that pieces with larger k_i (cell count) come first; on tie, pieces with larger minOrientHeight[i] come first; on tie, larger maxDim[i] comes first; on tie, smaller index first. Keep all other code identical (orientation precompute, output format, skyline update, store placements as (X - shiftX, Y - shiftY, R, F)).	The iteration 6 min-top criterion already chooses flat orientations to keep the skyline low, so the next bottleneck is the sort: pieces with high minOrientHeight (those that cannot lay flat in any orientation) must claim bottom-row space early or they will be forced onto an already-raised skyline; sorting by k_i desc first ensures the heaviest pieces still go early, while minOrientHeight desc as the next key gets the unavoidably-tall pieces in before flexible ones.
8	skyline BL min-top with total-gap tiebreaker	Start from the kept iteration 6 solution (skyline BL with min-top primary criterion; sort by maxDim desc then k_i desc). Keep everything except the selection key. For each candidate (orient, X), compute Y = max over occupied dx of (skyline[X+dx] - min_dy[dx]) and reject if Y + max_dy[dx] >= L. Compute top = Y + (o.height - 1). Compute total_gap = sum over occupied dx of (Y + min_dy[dx] - skyline[X+dx]) ; every term is >= 0 by construction of Y. Select by lexicographic key (top asc, total_gap asc, Y asc, X asc, orient index asc) — note support_count is dropped because total_gap is a strictly more informative measure (support_count is just the count of zero-gap columns). After picking, update skyline as before and store the placement as (X - shiftX, Y - shiftY, R, F). Output remains W H = L L then per-polyomino placements in input order.	Iteration 6 minimizes the top but breaks ties only on Y / support / X; among placements with the same top there can still be many ways to leave empty cells trapped under the piece, and total_gap counts exactly those permanently-wasted cells — minimizing it should produce a denser packing and reduce the final L further.
9	skyline BL min-top min-gap with support tiebreaker	Start from the kept iteration 8 solution (selection key: top asc, total_gap asc, Y asc, X asc, orient asc). Add support_count = number of dx in [0, o.width-1] where Y + min_dy[dx] == skyline[X+dx] (computed alongside total_gap; loop indices reused). Change selection key to lexicographic (top asc, total_gap asc, support_count desc, Y asc, X asc, orient index asc). All other code identical (sort, init L, grow on fail, skyline update, output format).	Among placements that share the same top and same total trapped-cell gap, the distribution of zero-gap columns still differs and a placement with more zero-gap columns means the trapped cells (if any) are concentrated in a single column rather than spread out, which leaves better-shaped support for the next piece.
