commit,description,lines_changed,size,best_unbounded,status
85bd192,initial solution,+297,creation,89.09,keep
31e35bc,add large-first ordering,+12,small (~4%),87.82,discard
26cfa00,revert,-12,small,(→ 89.09),revert
1994768,ord_large only for S<=1500,+12,small,89.08,discard
25e32b2,revert,-12,small,(→ 89.09),revert
c401734,dsum=gap-only,+1,tiny,89.66,keep
8edc4f2,sqrt(S) W candidates,+10/-1,small,88.33,discard
5685f85,revert,+1/-10,small,(→ 89.66),revert
baf92bd,prefer larger k in tie,+7/-4,small,89.76,keep
c07cb4c,move k pref after dsum,+6/-6,small,89.66,discard
08174c5,revert,+6/-6,small,(→ 89.76),revert
0766fb6,increase W span,+5/-5,small,89.66,discard
c66a8ac,revert,+5/-5,small,(→ 89.76),revert
5dc8c89,large-first ord4,+5/-5,small,88.66,discard
b2b469a,revert,+5/-5,small,(→ 89.76),revert
d8b6148,relax time margin 1.05,+1/-1,tiny,89.72,discard
985cde3,revert,+1/-1,tiny,(→ 89.76),revert
70b2e5d,prefer smaller bb after k tie,+9/-4,small,88.27,discard
a0055d8,revert,+4/-9,small,(→ 89.76),revert
813fa80,widen lookahead n/2,+1/-1,tiny,87.67,discard
e01145a,revert,+1/-1,tiny,(→ 89.76),revert
51c0564,prefer wider after k tie,+8/-4,small,89.73,discard
6bbed6a,revert,+4/-8,small,(→ 89.76),revert
5efaeba,ord4 id ASC tiebreaker,+1/-1,tiny,88.34,discard
87ff3dc,revert,+1/-1,tiny,(→ 89.76),revert
1ad6070,factor 0.30 for S<10000,+1/-1,tiny,89.75,discard
56ae764,revert,+1/-1,tiny,(→ 89.76),revert

# Analysis
# File: reference_problem0.cpp (297 lines from initial commit)
# Score trajectory of kept commits: 89.09 → 89.66 → 89.76, then 10 discards in a row.
#
# Comparison to problem_0 (solutions_0.cpp):
# - Iteration size is much more conservative here — every change after the initial commit is <=12 lines (~4% of file), versus 35-40-line rewrites in solutions_0.
# - Starting point is already strong (89.09), so the runway for improvement is narrow — total gain across all kept commits is only +0.67 (89.09 → 89.76).
# - Several discarded attempts came VERY close (89.72, 89.73, 89.75) — the optimizer is hovering at a local plateau where 1-2 line parameter tweaks aren't enough to break through (similar to the 77.47 plateau on solutions_0).
# - Iteration style is "knob-twiddling" — no attempt at a structural change like the skyline rewrite or multi-ordering search that produced the big jumps on solutions_0.
